Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u50	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u51	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centro-izquierda - izquierda	MaríaCarvalhoDantas	Carvalho Dantas, María	F	1969	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u52	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u53	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centro-izquierda - izquierda	MaríaCarvalhoDantas	Carvalho Dantas, María	F	1969	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u54	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u55	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u56	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u57	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u58	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u59	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u60	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u61	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u62	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u63	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u64	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u65	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
