Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u30	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	IdoiaSagastizabalUnzetabarrenetxea	Sagastizabal Unzetabarrenetxea, Idoia	F	1972	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u31	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u32	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	JuanIgnacioLópezBasValero	López-Bas Valero, Juan Ignacio	M	1969	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u33	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u34	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centre-right	SergiMiqueliValentí	Miquel i Valentí, Sergi	M	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u35	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u36	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	FrancescXavierEritjaCiuró	Eritja Ciuró, Francesc Xavier	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u37	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u38	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	UP	Unidas Podemos	Coalition	Left	EzequielGarcíaNieto	García Nieto, Ezequiel	M	1975	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u39	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
